,MAE,sMAPE,rMAE
2019-05-28,4.606376441319784,10.99499989997808,0.8516526815474526
2019-05-29,3.454147408803305,8.026879697857977,1.1927991051982634
2019-05-30,18.28798504193624,96.44212784054876,0.7287985537434739
2019-05-31,4.097921988169352,11.45245950161138,0.8754684681864381
2019-06-01,5.6466088962554934,18.604764901988062,0.8708303142920694
2019-06-02,5.51018185933431,19.257597864216116,1.1261548550116958
2019-06-03,6.416788190205892,18.20123512027236,1.5636401316371347
2019-06-04,4.455144691467285,11.158905830079389,1.264767832921869
2019-06-05,9.258744010925293,29.588451955489198,1.3924668270598262
2019-06-06,2.567492224375407,7.653272480019879,0.15095495684715768
2019-06-07,7.269539305369058,18.068327602408583,0.9806584415089504
2019-06-08,17.859748617808023,119.37685278097298,0.7905604434375265
2019-06-09,10.256681899130344,93.46276119473241,0.689158054758331
2019-06-10,2.2903481101989747,7.420006442636532,0.2485681226588378
2019-06-11,6.138240683873494,16.699065853972815,1.0370109560253686
2019-06-12,7.832944033940632,18.634761720963425,0.8801884858815207
2019-06-13,12.007502228418986,37.01459290343041,1.3049268858995458
2019-06-14,7.269227259953817,17.123129372081372,0.774626828163092
2019-06-15,2.4958222325642905,8.757381853604514,0.12271015196776124
2019-06-16,5.167427339553833,15.363307608492107,0.3796554709768322
2019-06-17,8.737263485590617,20.15387972582042,0.8791109028389502
2019-06-18,7.0033816083272304,17.085478425697335,1.058712261273958
2019-06-19,5.010329081217448,11.874498541322893,1.4635820100927308
2019-06-20,3.7807824071248377,9.470275734626467,0.4345518786025387
2019-06-21,3.8785411930084237,10.667472401872628,0.5550354101258252
2019-06-22,2.6012682247161867,8.5706611884177,0.6616197265068723
2019-06-23,3.2190879694620764,12.014278120669259,0.6361833931743233
2019-06-24,4.8021347713470455,13.557529745805294,0.5522339938300388
2019-06-25,5.917256952921551,14.57441065873549,0.8536557277597812
2019-06-26,8.079055407841999,22.938202989997322,1.1271789895838158
2019-06-27,2.7531879345575967,11.391300012315003,0.3525961068803753
2019-06-28,8.044382492701212,17.98580626711005,1.0609142753315148
2019-06-29,5.499546044667561,15.564342827793018,1.211909880378491
2019-06-30,12.55508952140808,63.1314889518277,1.4492912727324032
2019-07-01,5.206951758066814,16.86645086436151,1.0822451043007146
2019-07-02,4.098026768366496,13.036943570099202,0.4763301164315958
2019-07-03,8.185187104543049,23.3407680735936,1.2633898675736905
2019-07-04,5.821093063354493,17.678097759220993,2.1931904791288512
2019-07-05,3.682618055343628,11.349620976922882,0.33964658107849927
2019-07-06,2.1345484606424967,7.609341764520221,0.4258450794299246
2019-07-07,5.601383771896362,24.543249922247547,0.8326099995386641
2019-07-08,2.344181098937988,7.23887849693906,0.3749439944985785
2019-07-09,5.53066916147868,15.622838137972304,0.5536436282606394
2019-07-10,4.5756984806060785,11.009488578428993,0.3786784949467099
2019-07-11,3.756625067392985,8.240263552523075,0.21859377286321166
